歌名,歌手,曲风,推荐标签,语种,BPM,乐评
Together In Electric Dreams,Philip Oakey、Giorgio Moroder、,流行-欧美流行、,动感、快乐、KTV、,英语,132,
All night Long,Mary Jane Girls、,,,英语,,
Missing You,John Waite、,摇滚、,热血、抒情、动感、放松、KTV、,英语,103,
Waiting For A Girl Like You,Foreigner、,摇滚-软摇滚、,爱情、浪漫、放松、KTV、,英语,101,
Kids In America,Kim Wilde、,摇滚、,动感、可爱、快乐、,英语,,
Holiday,Madonna、,流行、,快乐、动感、可爱、,英语,117,
Material Girl,Madonna、,原声带-电视剧原声、,KTV、热血、动感、,英语,139,
long train running,The Doobie Brothers、,流行-成⼈时代、,可爱、快乐、放松、KTV、极限运动、,英语,,
Backstrokin',The Fatback Band、,节奏布鲁斯-放克、,动感、活力、,英语,,
And The Beat Goes On,The Whispers、,原声带-游戏原声、节奏布鲁斯-放克、,动感、快乐、活力、,英语,115,
Feed The Flame,Lorraine Johnson、,节奏布鲁斯-放克、,动感、可爱、快乐、KTV、,英语,,
(I Just) Died in Your Arms,Cutting Crew、,原声带-游戏原声、流行-欧美流行、,热血、动感、放松、KTV、,英语,124,
Bizarre Love Triangle '94,New Order、,朋克-新浪潮、,热血、动感、,英语,118,
Word Up,Cameo、,节奏布鲁斯-早期节奏布鲁斯、,动感、活力、散步、,英语,116,
No Love Lost,Joy Division、,摇滚、朋克-后朋克、,热血、动感、,英语,133,
Silly Love Songs,Wings、,摇滚、,快乐、爱情、浪漫、放松、,英语,125,
Send Me an Angel '89,Real Life、,原声带-游戏原声、,动感、热血、,英语,130,
Young Love,Janet Jackson、,流行、,动感、快乐、爱情、浪漫、,英语,123,
Got to Love Somebody,Sister Sledge、,电子-迪斯科、,动感、快乐、活力、KTV、,英语,123,
Radio Ga Ga,Queen、,摇滚、原声带-动画片原声、,热血、抒情、动感、爱情、浪漫、酒吧、,英语,112,
Bad Girls,Donna Summer、,节奏布鲁斯-放克、电子-迪斯科、,动感、可爱、快乐、活力、,英语,120,
If You Feel It,Thelma Houston、,节奏布鲁斯-放克、,动感、快乐、爱情、浪漫、,英语,120,
Mother And Child Reunion,Paul Simon、,雷鬼、,KTV、动感、放松、浪漫、爱情、,英语,,
Welcome To My World,Delegation、,节奏布鲁斯-灵魂乐、,爱情、浪漫、放松、,英语,67,
Cars (Remastered 2009),Gary Numan、,朋克、,热血、动感、快乐、,英语,,
Relax,Frankie Goes to Hollywood、,流行、,,,117,
Love My Way,The Psychedelic Furs、,流行、朋克-后朋克、,热血、动感、,英语,125,
I Shoulda Loved Ya,Narada Michael Walden、,电子-迪斯科、,动感、快乐、活力、KTV、,英语,,
Self Control,Laura Branigan、,电子-伊泰洛迪斯科、,热血、动感、爱情、浪漫、KTV、,英语,106,
Stand Up (Reach For The Sky),Delegation、,节奏布鲁斯-放克、,动感、快乐、活力、咖啡厅、酒吧、,英语,120,
strut,Sheena Easton、,流行、,,英语,,
I Hate Myself for Loving You,Joan Jett & the Blackhearts、,摇滚-硬摇滚、摇滚-经典摇滚、,热血、抒情、快乐、爱情、放松、轻快、正能量、极限运动、举铁、,英语,118,
Angel You,Primadonna、,电子-迪斯科、电子-电子舞曲、,动感、可爱、快乐、KTV、,英语,,
Billie Jean (Extended),Michael Jackson、,节奏布鲁斯、流行-欧美流行、,抒情、动感、爱情、浪漫、活力、放松、极限运动、有氧、,英语,117,
