歌名,歌手,曲风,推荐标签,语种,BPM,乐评
Departures〜あなたにおくるアイの歌〜,EGOIST、,二次元-动漫原声带、流行-日本流行、,抒情、悲伤、可爱、快乐、思念、放松、愤怒、遗憾、,日语,72,
Aozora,May'n、,电子、,抒情、悲伤、,日语,,
創聖のアクエリオン,AKINO、,二次元-动漫主题曲、,热血、抒情、动感、爱情、KTV、,日语,150,
メモリーズ･ラスト,黒崎真音、,二次元-动漫歌曲、,热血、动感、可爱、快乐、,日语,173,
Rolling star,YUI、,原声带、二次元-动漫歌曲、,热血、动感、活力、正能量、,日语,161,
GLORIA,YUI、,摇滚-日系摇滚、流行-日本流行、,动感、幸福、可爱、快乐、放松、,日语,114,
"NO,Thank You!",放課後ティータイム、,,热血、动感、幸福、快乐、正能量、,日语,180,
It's only the Fairy Tale,宮村優子、,二次元、,抒情、梦幻、可爱、快乐、放松、,英语,149,
ニッポン笑顔百景,桃黒亭一門、,二次元-动漫歌曲、,动感、可爱、快乐、搞笑、活力、,日语,160,
比翼の羽根,eufonius、,二次元-动漫主题曲、,抒情、动感、可爱、快乐、思念、放松、KTV、,日语,147,
Bad Apple!!,のみこ、,二次元-東方Project、电子、,热血、抒情、动感、可爱、快乐、思念、活力、,日语,137,
小さなてのひら,riya、,二次元-游戏原声带、二次元-动漫歌曲、,抒情、幸福、快乐、放松、憧憬、治愈、,日语,99,
ツインテール・ドリーマー!,上坂すみれ、相坂優歌、赤﨑千夏、,原声带、二次元、,热血、动感、可爱、快乐、,日语,98,
シリウス,藍井エイル、,原声带、二次元-动漫主题曲、,热血、动感、,日语,176,
エレメンタリオで会いましょう!,BRILLIANT4、,二次元-动漫主题曲、,可爱、快乐、,日语,161,
アメフラシの歌〜Beautiful Rain〜,前田玲奈、,原声带、,抒情、悲伤、放松、治愈、KTV、,日语,75,
だんご大家族,茶太、真理絵、くない瓜、Rio、Morrigan、藤枝あかね、たくまる、,二次元-动漫主题曲、,甜蜜、抒情、清新、可爱、快乐、爱情、思念、放松、憧憬、治愈、轻快、亲情、,日语,99,
金魚花火,大塚愛、,流行-日本流行、,抒情、清新、悲伤、思念、放松、治愈、,日语,83,
Euterpe,EGOIST、,二次元-动漫原声带、流行-日本流行、,抒情、动感、悲伤、思念、放松、憧憬、KTV、,日语,89,
Let Me Be With You (Remix Ver.),ROUND TABLE、,原声带、二次元、,可爱、快乐、放松、,日语,129,
ごめんね、いいコじゃいられない。,沢井美空、,二次元-动漫主题曲、流行-日本流行、,动感、快乐、,日语,51,
この世界で見つけたもの,EGOIST、,原声带、,放松、治愈、,日语,67,
fortissimo-the ultimate crisis,fripSide、,原声带、,热血、动感、可爱、快乐、活力、,日语,145,
いちばん星,種田梨沙、洲崎綾、M・A・O、田所あずさ、,二次元-动漫主题曲、,可爱、快乐、放松、治愈、,日语,104,
あなたがいた森,樹海、,二次元-动漫歌曲、,抒情、悲伤、爱情、孤独、,日语,73,
βios,小林未郁、,二次元-动漫歌曲、,甜蜜、热血、抒情、动感、爱情、思念、活力、愤怒、正直、洒脱、激烈、,英语,97,
secret base ~君がくれたもの~ (10 years after Ver.),茅野愛衣、戸松遥、早見沙織、,二次元-动漫歌曲、流行-日本流行、,可爱、快乐、放松、治愈、,日语,66,
優しさの理由,ChouCho、,二次元-动漫主题曲、流行-日本流行、,抒情、可爱、快乐、放松、治愈、轻快、,日语,176,
月灯り,雨宮天、,二次元-动漫主题曲、,悲伤、可爱、快乐、KTV、正能量、,日语,91,
夏の日と君の声,ChouCho、,二次元-动漫主题曲、流行、,放松、治愈、,日语,107,
言ノ叶,ピコ、,摇滚、原声带、,动感、活力、,日语,147,
嘘,シド、,摇滚、二次元-动漫主题曲、,热血、动感、,日语,89,
星屑のインターリュード,fhána、,二次元-动漫主题曲、,动感、可爱、快乐、,日语,127,
未来,Kalafina、,二次元-动漫歌曲、流行-日本流行、,热血、抒情、动感、放松、治愈、,日语,127,
The Everlasting Guilty Crown,EGOIST、,二次元-动漫歌曲、,热血、抒情、动感、思念、,日语,85,
everytime you kissed me,Emily Bindiger、,二次元-动漫歌曲、,抒情、思念、放松、治愈、KTV、,英语,124,
to the beginning,Kalafina、,二次元-动漫歌曲、流行、,热血、抒情、动感、思念、,日语,151,
trust you,伊藤由奈、,二次元-动漫主题曲、流行-日本流行、,KTV、,日语,89,
Super Driver,平野綾、,二次元-动漫主题曲、朋克-日系朋克、,热血、动感、可爱、快乐、,日语,199,
Spirit Inspiration,Nothing's Carved In Stone、,摇滚、二次元-动漫主题曲、,,日语,150,
SAVIOR OF SONG,ナノ、MY FIRST STORY、,二次元-动漫主题曲、流行-日本流行、,热血、动感、,日语,191,
START:DASH!!,新田恵海、内田彩、三森すずこ、,二次元、流行、,正能量、,日语,150,
Snow halation,μ's、,二次元、,快乐、可爱、,日语,86,
ススメ→トゥモロウ,新田恵海、内田彩、三森すずこ、,二次元-动漫主题曲、,动感、可爱、快乐、,日语,95,
Skyreach,雨宮天、,二次元-动漫主题曲、,热血、动感、悲伤、可爱、快乐、KTV、,日语,92,
Startear,春奈るな、,二次元-动漫主题曲、,可爱、快乐、放松、治愈、,日语,133,
seventh heaven,Kalafina、,二次元-动漫主题曲、流行-日本流行、,悲伤、,日语,91,
irony,ClariS、,二次元-动漫主题曲、,可爱、快乐、放松、治愈、,日语,134,
メグメル ~cuckool mix 2007~,eufonius、,二次元-动漫主题曲、流行-日本流行、,放松、治愈、,日语,144,
時を刻む唄,Lia、,二次元-动漫歌曲、,热血、抒情、动感、悲伤、爱情、思念、浪漫、放松、治愈、孤独、亲情、,日语,138,
keep on,前田愛、,二次元-动漫原声带、流行-日本流行、,热血、动感、,日语,147,
さよならのこと,上原れな、,二次元-动漫主题曲、流行-日本流行、,热血、抒情、动感、幸福、快乐、放松、治愈、KTV、,日语,120,
青い栞,Galileo Galilei、,摇滚、二次元-动漫主题曲、,热血、动感、放松、治愈、,日语,66,
Planetes,EGOIST、,原声带、,抒情、动感、悲伤、活力、放松、治愈、学习、,日语,139,
PSI-missing,川田まみ、,二次元-动漫歌曲、,动感、活力、,日语,129,
Overfly,春奈るな、,原声带、,热血、动感、,日语,133,
oblivious,Kalafina、,二次元-动漫主题曲、流行-日本流行、,动感、,日语,125,
空蝉,志方あきこ、,原声带、二次元-动漫主题曲、,热血、动感、活力、KTV、,日语,125,
片翼の鳥,志方あきこ、,原声带、二次元-动漫主题曲、,热血、动感、,日语,109,
逆さまの蝶,SNoW、,二次元-动漫主题曲、,动感、快乐、活力、放松、治愈、,日语,90,
My Dearest,supercell、,二次元-动漫主题曲、,热血、抒情、动感、悲伤、快乐、放松、,日语,84,
僕らのあしあと,supercell、,原声带、二次元-动漫主题曲、,热血、动感、快乐、放松、治愈、,日语,69,
MEMORIA,藍井エイル、,二次元-动漫歌曲、流行-日本流行、,热血、抒情、动感、放松、治愈、大气、,日语,127,
misterioso,Kalafina、,原声带、流行-日本流行、,热血、抒情、动感、,日语,79,
名前のない怪物,EGOIST、,原声带、二次元-动漫主题曲、,热血、动感、活力、激烈、,日语,89,
満天,Kalafina、,二次元-动漫歌曲、流行、,热血、抒情、动感、KTV、,日语,95,
LEVEL5-judgelight-,fripSide、,二次元-动漫原声带、,热血、动感、可爱、快乐、活力、,日语、英语,139,
late in autumn,fripSide、,二次元-动漫主题曲、,甜蜜、热血、抒情、动感、可爱、快乐、爱情、浪漫、憧憬、,日语,130,
恋はみるくてぃ,petit milady、,二次元-动漫主题曲、,可爱、快乐、,日语,122,
泪のムコウ,ステレオポニー、,二次元-动漫主题曲、流行-日本流行、,热血、动感、可爱、快乐、,日语,137,
涙の種、笑顔の花,中川翔子、,二次元、流行-日本流行、,热血、动感、可爱、快乐、,日语,123,
空は高く風は歌う,春奈るな、,二次元、,热血、抒情、动感、放松、治愈、,日语,95,
君の神話～アクエリオン第二章,AKINO with bless4、,原声带、二次元-动漫歌曲、流行、,可爱、快乐、放松、,国语,167,
INNOCENCE,藍井エイル、,二次元-动漫主题曲、流行-日本流行、,热血、动感、,日语,91,
IGNITE,藍井エイル、,原声带、二次元-动漫主题曲、,热血、清新、动感、快乐、放松、,日语,85,
