歌名,歌手,曲风,推荐标签,语种,BPM,乐评
听海 (live),张学友、,流行-华语流行、,抒情、悲伤、KTV、,国语,117,现场交响乐的磅礴气势在流行音乐中的表现往往不是录音棚里修歌能处理的。就像情感一样，真挚的情感，不是美颜相机下的滤镜，而是真实的心底流露。海很深，海的情感藏得很深，一起听海。
一生中最爱 (Live),陈奕迅、,流行-粤语流行、,抒情、KTV、悲伤、孤独、,粤语,61,
追,张国荣、,原声带-电影原声、流行-粤语流行、,抒情、悲伤、KTV、,粤语,89,
Lonely Christmas,陈奕迅、,流行-粤语流行、,抒情、悲伤、,粤语,77,
我什么都没有,陈奕迅、,流行-粤语流行、,抒情、悲伤、孤独、KTV、,粤语,72,
岁月如歌,陈奕迅、,原声带-电视剧原声、流行-粤语流行、,抒情、,粤语,69,这首歌，总是让我想象出一个男人，他年纪不会太年轻，也不会太老，30岁左右，有一定的经济基础，经历了一段刻骨铭心的感情，在某一冬天收到了昔日恋人的结婚邀请，他去了，温和而风度，退场时，天空下起了一阵阴凉南方小城特有的雨，这时候响起音乐，“天气不如预期，但要走，总要飞”
一生何求,陈百强、,原声带-电视剧原声、流行-粤语流行、,抒情、悲伤、爱情、孤独、KTV、旅游、正能量、,华语,62,《一生何求》是一首忧郁空灵的歌，萨克斯的演奏版更添醇厚却不失空灵，仿佛一瓶陈年好酒，开盖便酒香四溢，缓缓地流淌在你心间~
情意结,陈慧娴、,流行-粤语流行、,抒情、悲伤、爱情、思念、浪漫、苦情、孤独、KTV、酒吧、,粤语,72,林夕将专辑名定为《情意结》，其中一层含义就是希望香港人记得陈慧娴，以及她所代表的8090年代香港乐坛的那一丝情意结。然而当时情谊满满的《情意结》却没有收获很多……然而，这么多年过去了，她依然是一部人心中的情意结
单车,陈奕迅、,流行-粤语流行、,抒情、悲伤、孤独、,粤语,65,好像是在控诉父亲不善言表的爱，但更深层次却是对父亲这种不善言却深沉的爱的所表达出的一种心酸和感激，歌词里蕴涵着对父亲无限的爱意。
天黑黑,孙燕姿、,流行-华语流行、,抒情、悲伤、孤独、,国语,111,
我怀念的,孙燕姿、,流行-华语流行、,抒情、悲伤、,国语,68,《我怀念的》是孙燕姿演唱的一首慢板抒情歌，是一首高度共鸣的抒情歌。歌的名字有一种浓浓的回忆的味道，歌曲一开始用简单的旋律将我们带入了平实的世界，而随着旋律的发展，故事也到达了高潮，配和着燕姿那略带忧伤的沙哑歌喉，有着能感同身受的情感。
恰似你的温柔,邓丽君、,流行-华语流行、,,国语,74,
致青春,王菲、,原声带-电影原声、流行-华语流行、,,国语,105,这首歌给我“青春”的感觉，就像是村上所写“风将人们的种种活动所聚敛起来的些许温暖带往某个辽远的世界，而留下凉浸浸的黑暗，让无数星辰在黑暗深处熠熠闪光。”匆匆、冷静或许荒诞，但还是“这年华青涩逝去，却别有洞天”。
星晴 (Live),张学友、,流行-华语流行、,慵懒、放松、KTV、,华语,101,
囍帖街,谢安琪、,流行-粤语流行、,抒情、悲伤、,粤语,125,这首歌内容讲的是一对情侣买了新房准备结婚，连喜帖都印好了，才决定分手，就如湾仔的喜帖街，以前很旺、喜气洋洋，最后还是落得要拆卸的荒凉结果。但这并非一首单纯情歌，而是一首励志歌曲人生反复无常，有好有坏，我们要用自己的心态鼓起勇气，勇敢面对，一切才会水到渠成。
一生中最爱,谭咏麟、,流行-粤语流行、,抒情、悲伤、,粤语,62,中文歌有很细腻的情感，尤其表现在歌词中，加上一段比较舒缓的旋律就会很让人印象深刻，仿佛它就在说自己的故事，这是外文歌不能到达地方。
